Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,Comments,ObjectId,WingChord,Tarsus,RadioSize,bird.id
3/16/2022 8:00,BB,76,220098,No,Female,Juvenile,,160,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21169,164.197,,129,,,,164.197_220098
3/20/2022 8:00,CC,213,220333,No,Male,Adult,,170,Good,Right,None,None,,,,None,,,,,130,,,,_220333
3/16/2022 8:00,BB,78,220079,No,Male,Juvenile,,184,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21177,164.28,,131,,,,164.280_220079
3/14/2022 8:00,AC,52,205018,Yes,Female,Adult,,156,Bad - Scalp Severely Torn,Right,Right,None,,,,None,,,,20018,132,,,,_205018
3/16/2022 8:00,BB,78,220080,No,Female,Juvenile,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2167,162.959,,133,,,,162.959_220080
3/16/2022 8:00,BB,78,220081,No,Male,Juvenile,,190,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2183,163.147,,134,,,,163.147_220081
3/16/2022 8:00,BB,78,220082,No,Male,Juvenile,,190,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2184,163.166,,135,,,,163.166_220082
3/19/2022 8:00,BB,79,220307,No,Male,Juvenile,,172,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21165,164.155,,136,,,,164.155_220307
3/19/2022 8:00,BB,79,220305,No,Male,Juvenile,,155,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2179,163.111,,137,,,,163.111_220305
3/22/2022 8:00,BB,79,220347,No,Female,Juvenile,,178,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2142,162.603,,138,,,,162.603_220347
3/23/2022 8:00,BB,79,220367,No,Female,Juvenile,,170,Moderate - Feathers Missing from Scalp,Right,None,None,,,,VHF-Pendant,AWE,Oa21173,164.235,,139,,,,164.235_220367
3/23/2022 8:00,BB,79,220369,No,Female,Juvenile,,198,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21170,164.208,,140,,,,164.208_220369
3/20/2022 8:00,BB,81,220320,No,Male,Juvenile,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2175,163.069,,141,,,,163.069_220320
3/20/2022 8:00,BB,81,220321,No,Male,Juvenile,,170,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21163,164.137,,142,,,,164.137_220321
3/24/2022 8:00,BB,TT13,220266,No,Female,Juvenile,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-73,163.04,,143,,,,163.040_220266
3/24/2022 8:00,BB,TT13,220267,No,Female,Juvenile,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-49,162.697,,144,,,,162.697_220267
